tip_label,species,status,tip_order
Potentilla_grandiflora,Potentilla_grandiflora,exisiting species in the megatree,157
Potentilla_norvegica,Potentilla_norvegica,exisiting species in the megatree,158
Sanguisorba_minor,Sanguisorba_minor,exisiting species in the megatree,159
Acaena_magellanica,Acaena_magellanica,exisiting species in the megatree,160
Rubus_praecox,Rubus_praecox,exisiting species in the megatree,161
Rubus_ulmifolius,Rubus_ulmifolius,exisiting species in the megatree,162
Rubus_cuneifolius,Rubus_cuneifolius,exisiting species in the megatree,163
Rubus_allegheniensis,Rubus_allegheniensis,exisiting species in the megatree,164
Rubus_flagellaris,Rubus_flagellaris,exisiting species in the megatree,165
Rubus_idaeus,Rubus_idaeus,exisiting species in the megatree,166
Rubus_occidentalis,Rubus_occidentalis,exisiting species in the megatree,167
Rubus_chamaemorus,Rubus_chamaemorus,exisiting species in the megatree,168
Geum_triflorum,Geum_triflorum,exisiting species in the megatree,169
Filipendula_vulgaris,Filipendula_vulgaris,exisiting species in the megatree,170
Purshia_tridentata,Purshia_tridentata,exisiting species in the megatree,171
Crataegus_monogyna,Crataegus_monogyna,exisiting species in the megatree,172
Crataegus_laevigata,Crataegus_laevigata,exisiting species in the megatree,173
Crataegus_submollis,Crataegus_submollis,exisiting species in the megatree,174
Crataegus_germanica,Crataegus_germanica,grafted at genus level,175
Crataegus_rhipidophylla,Crataegus_rhipidophylla,grafted at genus level,176
Malus_sylvestris,Malus_sylvestris,exisiting species in the megatree,177
Sorbus_americana,Sorbus_americana,exisiting species in the megatree,178
Sorbus_aucuparia,Sorbus_aucuparia,exisiting species in the megatree,179
Amelanchier_ovalis,Amelanchier_ovalis,exisiting species in the megatree,180
Amelanchier_arborea,Amelanchier_arborea,exisiting species in the megatree,181
Amelanchier_lamarckii,Amelanchier_lamarckii,exisiting species in the megatree,182
Spiraea_crenata,Spiraea_crenata,exisiting species in the megatree,183
Spiraea_alba,Spiraea_alba,grafted at genus level,184
Prunus_cerasus,Prunus_cerasus,exisiting species in the megatree,185
Prunus_avium,Prunus_avium,exisiting species in the megatree,186
Prunus_pensylvanica,Prunus_pensylvanica,exisiting species in the megatree,187
Prunus_mahaleb,Prunus_mahaleb,exisiting species in the megatree,188
Prunus_spinosa,Prunus_spinosa,exisiting species in the megatree,189
Prunus_cerasifera,Prunus_cerasifera,exisiting species in the megatree,190
Prunus_domestica,Prunus_domestica,exisiting species in the megatree,191
Prunus_americana,Prunus_americana,exisiting species in the megatree,192
Prunus_lusitanica,Prunus_lusitanica,exisiting species in the megatree,193
Prunus_laurocerasus,Prunus_laurocerasus,exisiting species in the megatree,194
Prunus_virginiana,Prunus_virginiana,exisiting species in the megatree,195
Prunus_spinosissima,Prunus_spinosissima,grafted at genus level,196
Ficus_carica,Ficus_carica,exisiting species in the megatree,197
Ficus_religiosa,Ficus_religiosa,exisiting species in the megatree,198
Ficus_pertusa,Ficus_pertusa,exisiting species in the megatree,199
Ficus_crassinervia,Ficus_crassinervia,grafted at genus level,200
Brosimum_guianense,Brosimum_guianense,exisiting species in the megatree,201
Brosimum_utile,Brosimum_utile,grafted at genus level,202
Trilepisium_madagascariense,Trilepisium_madagascariense,grafted at family level,203
Cecropia_pachystachya,Cecropia_pachystachya,grafted at genus level,204
Musanga_cecropioides,Musanga_cecropioides,exisiting species in the megatree,205
Pilea_ovalis,Pilea_ovalis,grafted at genus level,206
Celtis_iguanaea,Celtis_iguanaea,exisiting species in the megatree,207
Celtis_occidentalis,Celtis_occidentalis,exisiting species in the megatree,208
Celtis_australis,Celtis_australis,grafted at genus level,209
Cannabis_sativa,Cannabis_sativa,exisiting species in the megatree,210
Ulmus_americana,Ulmus_americana,exisiting species in the megatree,211
Ulmus_laevis,Ulmus_laevis,exisiting species in the megatree,212
Ulmus_minor,Ulmus_minor,exisiting species in the megatree,213
Ulmus_rubra,Ulmus_rubra,exisiting species in the megatree,214
Rhamnus_cathartica,Rhamnus_cathartica,exisiting species in the megatree,215
Rhamnus_saxatilis,Rhamnus_saxatilis,exisiting species in the megatree,216
Rhamnus_alaternus,Rhamnus_alaternus,exisiting species in the megatree,217
Frangula_alnus,Frangula_alnus,exisiting species in the megatree,218
Ostrya_virginiana,Ostrya_virginiana,exisiting species in the megatree,219
Ostrya_carpinifolia,Ostrya_carpinifolia,exisiting species in the megatree,220
Carpinus_caroliniana,Carpinus_caroliniana,exisiting species in the megatree,221
Carpinus_betulus,Carpinus_betulus,exisiting species in the megatree,222
Corylus_cornuta,Corylus_cornuta,exisiting species in the megatree,223
Corylus_americana,Corylus_americana,exisiting species in the megatree,224
Corylus_avellana,Corylus_avellana,exisiting species in the megatree,225
Betula_alleghaniensis,Betula_alleghaniensis,exisiting species in the megatree,226
Betula_papyrifera,Betula_papyrifera,exisiting species in the megatree,227
Betula_pubescens,Betula_pubescens,exisiting species in the megatree,228
Alnus_glutinosa,Alnus_glutinosa,exisiting species in the megatree,229
Alnus_incana,Alnus_incana,exisiting species in the megatree,230
Alnus_cordata,Alnus_cordata,exisiting species in the megatree,231
Alnus_alnobetula,Alnus_alnobetula,exisiting species in the megatree,232
Alnus_serrulata,Alnus_serrulata,grafted at genus level,233
Allocasuarina_torulosa,Allocasuarina_torulosa,exisiting species in the megatree,234
Allocasuarina_littoralis,Allocasuarina_littoralis,exisiting species in the megatree,235
Casuarina_pauper,Casuarina_pauper,exisiting species in the megatree,236
Myrica_gale,Myrica_gale,exisiting species in the megatree,237
Carya_glabra,Carya_glabra,exisiting species in the megatree,238
Carya_cordiformis,Carya_cordiformis,exisiting species in the megatree,239
Carya_ovata,Carya_ovata,exisiting species in the megatree,240
Juglans_californica,Juglans_californica,exisiting species in the megatree,241
Quercus_stellata,Quercus_stellata,exisiting species in the megatree,242
Quercus_alba,Quercus_alba,exisiting species in the megatree,243
Quercus_lobata,Quercus_lobata,exisiting species in the megatree,244
Quercus_muehlenbergii,Quercus_muehlenbergii,exisiting species in the megatree,245
Quercus_pyrenaica,Quercus_pyrenaica,exisiting species in the megatree,246
Quercus_petraea,Quercus_petraea,exisiting species in the megatree,247
Quercus_suber,Quercus_suber,exisiting species in the megatree,248
Quercus_coccifera,Quercus_coccifera,exisiting species in the megatree,249
Quercus_velutina,Quercus_velutina,exisiting species in the megatree,250
Quercus_ellipsoidalis,Quercus_ellipsoidalis,exisiting species in the megatree,251
Quercus_rubra,Quercus_rubra,exisiting species in the megatree,252
Quercus_marilandica,Quercus_marilandica,exisiting species in the megatree,253
Quercus_robur,Quercus_robur,grafted at genus level,254
Quercus_pubescens,Quercus_pubescens,grafted at genus level,255
Quercus_margaretiae,Quercus_margaretiae,grafted at genus level,256
Quercus_douglasii,Quercus_douglasii,grafted at genus level,257
Castanea_sativa,Castanea_sativa,exisiting species in the megatree,258
Fagus_grandifolia,Fagus_grandifolia,grafted at genus level,259
Fagus_sylvatica,Fagus_sylvatica,grafted at genus level,260
Coccinia_grandis,Coccinia_grandis,exisiting species in the megatree,261
Melothria_pendula,Melothria_pendula,exisiting species in the megatree,262
Cucurbita_pepo,Cucurbita_pepo,exisiting species in the megatree,263
Sicyos_angulatus,Sicyos_angulatus,exisiting species in the megatree,264
Bryonia_alba,Bryonia_alba,exisiting species in the megatree,265
Salix_repens,Salix_repens,exisiting species in the megatree,266
Salix_lanata,Salix_lanata,exisiting species in the megatree,267
Salix_discolor,Salix_discolor,exisiting species in the megatree,268
Salix_helvetica,Salix_helvetica,exisiting species in the megatree,269
Salix_alba,Salix_alba,exisiting species in the megatree,270
Salix_starkeana,Salix_starkeana,grafted at genus level,271
Salix_phylicifolia,Salix_phylicifolia,grafted at genus level,272
Populus_tremuloides,Populus_tremuloides,exisiting species in the megatree,273
Populus_nigra,Populus_nigra,exisiting species in the megatree,274
Populus_balsamifera,Populus_balsamifera,exisiting species in the megatree,275
Passiflora_vitifolia,Passiflora_vitifolia,exisiting species in the megatree,276
Viola_tricolor,Viola_tricolor,exisiting species in the megatree,277
Viola_arvensis,Viola_arvensis,exisiting species in the megatree,278
Viola_odorata,Viola_odorata,exisiting species in the megatree,279
Viola_pedata,Viola_pedata,exisiting species in the megatree,280
Viola_hederacea,Viola_hederacea,grafted at genus level,281
Hypericum_humifusum,Hypericum_humifusum,exisiting species in the megatree,282
Hypericum_pulchrum,Hypericum_pulchrum,exisiting species in the megatree,283
Hypericum_tetrapterum,Hypericum_tetrapterum,exisiting species in the megatree,284
Hypericum_calycinum,Hypericum_calycinum,exisiting species in the megatree,285
Garcinia_spicata,Garcinia_spicata,exisiting species in the megatree,286
Calophyllum_brasiliense,Calophyllum_brasiliense,exisiting species in the megatree,287
Malpighia_glabra,Malpighia_glabra,exisiting species in the megatree,288
Euphorbia_amygdaloides,Euphorbia_amygdaloides,exisiting species in the megatree,289
Euphorbia_characias,Euphorbia_characias,exisiting species in the megatree,290
Euphorbia_peplus,Euphorbia_peplus,exisiting species in the megatree,291
Euphorbia_cyparissias,Euphorbia_cyparissias,exisiting species in the megatree,292
Euphorbia_serrata,Euphorbia_serrata,exisiting species in the megatree,293
