taxon_name,taxon_authors,accepted_plant_name_id,keep,family,genus,species,Standardized_names,TPL_names,TPL_Author,TPL_names.withAuthor,invasion_status,c_score,s_score,r_score,wcup_eco_use_AF,wcup_eco_use_EU,wcup_eco_use_FU,wcup_eco_use_GS,wcup_eco_use_HF,wcup_eco_use_IF,wcup_eco_use_MA,wcup_eco_use_ME,wcup_eco_use_PO,wcup_eco_use_SU,wcup_eco_use_num,wcup_eco_use_num_2out,wcup_eco_use_status,Checked_year,Provience_pinyin,Geo.region,Geo.region4,provinces,n.provinces,BG_codes
Abutilon theophrasti,Medik.,2611008,Matched to an accepted name,Malvaceae,Abutilon,theophrasti,Abutilon theophrasti,Abutilon theophrasti,Medik.,Abutilon theophrasti Medik.,3,65.79119431,14.03667405,20.17213164,1,0,1,1,1,0,1,1,0,0,6,5,1,1934,Shenxi,Northwest,West,Inner Mongolia; Henan; Hunan; Jiangsu; Anhui; Beijing; Fujian; Shandong; Jiangxi; Zhejiang; Guizhou; Xinjiang; Sichuan; Jilin; Shenxi; Guangxi; Guangdong; Tianjin; Hubei; Heilongjiang; Hebei; Yunnan; Liaoning; Gansu; Ningxia; Shanxi; Shanghai; Qinghai; Hainan; Chongqing,30,WUK 0074202
Abutilon theophrasti,Medik.,2611008,Matched to an accepted name,Malvaceae,Abutilon,theophrasti,Abutilon theophrasti,Abutilon theophrasti,Medik.,Abutilon theophrasti Medik.,3,65.79119431,14.03667405,20.17213164,1,0,1,1,1,0,1,1,0,0,6,5,1,1935,Guangdong,South,East,Inner Mongolia; Henan; Hunan; Jiangsu; Anhui; Beijing; Fujian; Shandong; Jiangxi; Zhejiang; Guizhou; Xinjiang; Sichuan; Jilin; Shenxi; Guangxi; Guangdong; Tianjin; Hubei; Heilongjiang; Hebei; Yunnan; Liaoning; Gansu; Ningxia; Shanxi; Shanghai; Qinghai; Hainan; Chongqing,30,IBSC 0280757
Abutilon theophrasti,Medik.,2611008,Matched to an accepted name,Malvaceae,Abutilon,theophrasti,Abutilon theophrasti,Abutilon theophrasti,Medik.,Abutilon theophrasti Medik.,3,65.79119431,14.03667405,20.17213164,1,0,1,1,1,0,1,1,0,0,6,5,1,1935,Tianjin,North,East,Inner Mongolia; Henan; Hunan; Jiangsu; Anhui; Beijing; Fujian; Shandong; Jiangxi; Zhejiang; Guizhou; Xinjiang; Sichuan; Jilin; Shenxi; Guangxi; Guangdong; Tianjin; Hubei; Heilongjiang; Hebei; Yunnan; Liaoning; Gansu; Ningxia; Shanxi; Shanghai; Qinghai; Hainan; Chongqing,30,PE 01286170
Abutilon theophrasti,Medik.,2611008,Matched to an accepted name,Malvaceae,Abutilon,theophrasti,Abutilon theophrasti,Abutilon theophrasti,Medik.,Abutilon theophrasti Medik.,3,65.79119431,14.03667405,20.17213164,1,0,1,1,1,0,1,1,0,0,6,5,1,1938,Hubei,Central,Central,Inner Mongolia; Henan; Hunan; Jiangsu; Anhui; Beijing; Fujian; Shandong; Jiangxi; Zhejiang; Guizhou; Xinjiang; Sichuan; Jilin; Shenxi; Guangxi; Guangdong; Tianjin; Hubei; Heilongjiang; Hebei; Yunnan; Liaoning; Gansu; Ningxia; Shanxi; Shanghai; Qinghai; Hainan; Chongqing,30,PE 01286217
Abutilon theophrasti,Medik.,2611008,Matched to an accepted name,Malvaceae,Abutilon,theophrasti,Abutilon theophrasti,Abutilon theophrasti,Medik.,Abutilon theophrasti Medik.,3,65.79119431,14.03667405,20.17213164,1,0,1,1,1,0,1,1,0,0,6,5,1,1950,Hebei,North,East,Inner Mongolia; Henan; Hunan; Jiangsu; Anhui; Beijing; Fujian; Shandong; Jiangxi; Zhejiang; Guizhou; Xinjiang; Sichuan; Jilin; Shenxi; Guangxi; Guangdong; Tianjin; Hubei; Heilongjiang; Hebei; Yunnan; Liaoning; Gansu; Ningxia; Shanxi; Shanghai; Qinghai; Hainan; Chongqing,30,PE 01286165
Abutilon theophrasti,Medik.,2611008,Matched to an accepted name,Malvaceae,Abutilon,theophrasti,Abutilon theophrasti,Abutilon theophrasti,Medik.,Abutilon theophrasti Medik.,3,65.79119431,14.03667405,20.17213164,1,0,1,1,1,0,1,1,0,0,6,5,1,1950,Heilongjiang,Northeast,Northeast,Inner Mongolia; Henan; Hunan; Jiangsu; Anhui; Beijing; Fujian; Shandong; Jiangxi; Zhejiang; Guizhou; Xinjiang; Sichuan; Jilin; Shenxi; Guangxi; Guangdong; Tianjin; Hubei; Heilongjiang; Hebei; Yunnan; Liaoning; Gansu; Ningxia; Shanxi; Shanghai; Qinghai; Hainan; Chongqing,30,IFP 09002001x0012; IFP 09002001x0013
Abutilon theophrasti,Medik.,2611008,Matched to an accepted name,Malvaceae,Abutilon,theophrasti,Abutilon theophrasti,Abutilon theophrasti,Medik.,Abutilon theophrasti Medik.,3,65.79119431,14.03667405,20.17213164,1,0,1,1,1,0,1,1,0,0,6,5,1,1954,Yunnan,Southwest,West,Inner Mongolia; Henan; Hunan; Jiangsu; Anhui; Beijing; Fujian; Shandong; Jiangxi; Zhejiang; Guizhou; Xinjiang; Sichuan; Jilin; Shenxi; Guangxi; Guangdong; Tianjin; Hubei; Heilongjiang; Hebei; Yunnan; Liaoning; Gansu; Ningxia; Shanxi; Shanghai; Qinghai; Hainan; Chongqing,30,WUK 0202759
Abutilon theophrasti,Medik.,2611008,Matched to an accepted name,Malvaceae,Abutilon,theophrasti,Abutilon theophrasti,Abutilon theophrasti,Medik.,Abutilon theophrasti Medik.,3,65.79119431,14.03667405,20.17213164,1,0,1,1,1,0,1,1,0,0,6,5,1,1955,Liaoning,Northeast,Northeast,Inner Mongolia; Henan; Hunan; Jiangsu; Anhui; Beijing; Fujian; Shandong; Jiangxi; Zhejiang; Guizhou; Xinjiang; Sichuan; Jilin; Shenxi; Guangxi; Guangdong; Tianjin; Hubei; Heilongjiang; Hebei; Yunnan; Liaoning; Gansu; Ningxia; Shanxi; Shanghai; Qinghai; Hainan; Chongqing,30,IBSC 0280788; IFP 09002001x0004
Abutilon theophrasti,Medik.,2611008,Matched to an accepted name,Malvaceae,Abutilon,theophrasti,Abutilon theophrasti,Abutilon theophrasti,Medik.,Abutilon theophrasti Medik.,3,65.79119431,14.03667405,20.17213164,1,0,1,1,1,0,1,1,0,0,6,5,1,1956,Gansu,Northwest,West,Inner Mongolia; Henan; Hunan; Jiangsu; Anhui; Beijing; Fujian; Shandong; Jiangxi; Zhejiang; Guizhou; Xinjiang; Sichuan; Jilin; Shenxi; Guangxi; Guangdong; Tianjin; Hubei; Heilongjiang; Hebei; Yunnan; Liaoning; Gansu; Ningxia; Shanxi; Shanghai; Qinghai; Hainan; Chongqing,30,KUN 0474040
Abutilon theophrasti,Medik.,2611008,Matched to an accepted name,Malvaceae,Abutilon,theophrasti,Abutilon theophrasti,Abutilon theophrasti,Medik.,Abutilon theophrasti Medik.,3,65.79119431,14.03667405,20.17213164,1,0,1,1,1,0,1,1,0,0,6,5,1,1958,Henan,Central,Central,Inner Mongolia; Henan; Hunan; Jiangsu; Anhui; Beijing; Fujian; Shandong; Jiangxi; Zhejiang; Guizhou; Xinjiang; Sichuan; Jilin; Shenxi; Guangxi; Guangdong; Tianjin; Hubei; Heilongjiang; Hebei; Yunnan; Liaoning; Gansu; Ningxia; Shanxi; Shanghai; Qinghai; Hainan; Chongqing,30,WUK 0407731; WUK 0115952; IBK IBK00340297; KUN 0474039; IBK IBK00262611
