TPL_names,Standardized_names,invasion_status,TPL_Author,TPL_names.withAuthor,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,min_record_year_cvh,...21,resolved_match_type,ipni_id,taxon_rank,taxon_status,family,genus_hybrid,genus,species_hybrid,species,infraspecific_rank,infraspecies,parenthetical_author,primary_author,publication_author,place_of_publication,volume_and_page,first_published,nomenclatural_remarks,geographic_area,lifeform_description,climate_description,taxon_name,taxon_authors,accepted_plant_name_id,basionym_plant_name_id,replaced_synonym_author,homotypic_synonym,parent_plant_name_id,powo_id,hybrid_formula,reviewed,keep,c_score,s_score,r_score,wcup_eco_use_AF,wcup_eco_use_EU,wcup_eco_use_FU,wcup_eco_use_GS,wcup_eco_use_HF,wcup_eco_use_IF,wcup_eco_use_MA,wcup_eco_use_ME,wcup_eco_use_PO,wcup_eco_use_SU,wcup_eco_use_num,wcup_eco_use_num_2out,wcup_eco_use_status
Arabidopsis lyrata,Arabidopsis lyrata,1,(L.) O'Kane & Al-Shehbaz,Arabidopsis lyrata (L.) O'Kane & Al-Shehbaz,Exact (with author),FALSE,1,0,2645228,Arabidopsis lyrata,(L.) O'Kane & Al-Shehbaz,Species,Accepted,NA,997558-1,2645228,0,24,1905,NA,Exact (with author),997558-1,Species,Accepted,Brassicaceae,NA,Arabidopsis,NA,lyrata,NA,NA,L.,O'Kane & Al-Shehbaz,NA,Novon,0.517361111,-1997,NA,Alaska to NC. & E. U.S.A.,biennial or perennial,temperate,Arabidopsis lyrata,(L.) O'Kane & Al-Shehbaz,2645228,2645867,NA,NA,2645200,997558-1,NA,N,Matched to an accepted name,8.539621121,0,91.46037888,0,0,0,0,0,0,0,0,0,0,0,0,0
Arabis alpina,Arabis alpina,1,L.,Arabis alpina L.,Exact (with author),FALSE,1,0,2645295,Arabis alpina,L.,Species,Accepted,NA,277992-1,2645295,0,2,1905,NA,Exact (with author),277992-1,Species,Accepted,Brassicaceae,NA,Arabis,NA,alpina,NA,NA,NA,L.,NA,Sp. Pl.,: 664,-1753,NA,"N. & C. Europe to WC. Siberia, N. & E. Canada to Greenland",subshrub,temperate,Arabis alpina,L.,2645295,NA,NA,NA,2645277,277992-1,NA,N,Matched to an accepted name,14.91852755,0,85.08147245,0,1,0,0,0,1,0,0,0,0,2,2,1
Arabis caerulea,Arabis caerulea,1,(All.) Haenke,Arabis caerulea (All.) Haenke,Exact (without author),FALSE,1,0,2645428,Arabis caerulea,All.,Species,Accepted,NA,278078-1,2645428,9,4,NA,NA,Exact (without author),278078-1,Species,Accepted,Brassicaceae,NA,Arabis,NA,caerulea,NA,NA,NA,All.,NA,Auct. Syn. Meth. Stirp. Hort. Regii Taur.,: 22,-1773,NA,Alps,perennial,temperate,Arabis caerulea,All.,2645428,NA,NA,NA,2645277,278078-1,NA,N,Matched to an accepted name,4.88,50.46,44.66,0,0,0,0,0,0,0,0,0,0,0,0,0
Arabis collina,Arabis collina,1,Ten.,Arabis collina Ten.,Exact (with author),FALSE,1,0,2645469,Arabis collina,Ten.,Species,Accepted,NA,278114-1,2645469,0,4,1957,NA,Exact (with author),278114-1,Species,Accepted,Brassicaceae,NA,Arabis,NA,collina,NA,NA,NA,Ten.,NA,Fl. Napol.,1(Prodr.): XXXIX,-1812,NA,SC. & S. Europe,perennial,temperate,Arabis collina,Ten.,2645469,NA,NA,NA,2645277,278114-1,NA,N,Matched to an accepted name,15.62245828,0.173383165,84.20415856,0,0,0,0,0,0,0,0,0,0,0,0,0
Arbutus unedo,Arbutus unedo,1,L.,Arbutus unedo L.,Exact (with author),FALSE,1,0,2646748,Arbutus unedo,L.,Species,Accepted,NA,326526-1,2646748,0,2,NA,NA,Exact (with author),326526-1,Species,Accepted,Ericaceae,NA,Arbutus,NA,unedo,NA,NA,NA,L.,NA,Sp. Pl.,: 395,-1753,NA,W. Ireland to Medit.,shrub or tree,temperate,Arbutus unedo,L.,2646748,NA,NA,NA,2646647,326526-1,NA,N,Matched to an accepted name,35.80255064,60.48744936,3.71,0,1,0,0,1,1,1,1,0,0,5,5,1
Arctostaphylos uva-ursi,Arctostaphylos uva-ursi,1,(L.) Spreng.,Arctostaphylos uva-ursi (L.) Spreng.,Exact (with author),FALSE,1,0,2647407,Arctostaphylos uva-ursi,(L.) Spreng.,Species,Accepted,NA,1024084-2,2647407,0,12,NA,NA,Exact (with author),1024084-2,Species,Accepted,Ericaceae,NA,Arctostaphylos,NA,uva-ursi,NA,NA,L.,Spreng.,NA,Syst. Veg. ed. 16.,0.282638889,-1825,NA,"Subarctic to N., W. & C. U.S.A.",subshrub,temperate,Arctostaphylos uva-ursi,(L.) Spreng.,2647407,2646750,NA,NA,2647114,1024084-2,NA,N,Matched to an accepted name,6.67,93.33,0,0,1,0,0,0,1,1,1,0,0,4,4,1
Argyrotegium mackayi,Argyrotegium mackayi,1,(Buchanan) J.M.Ward & Breitw.,Argyrotegium mackayi (Buchanan) J.M.Ward & Breitw.,Exact (with author),FALSE,1,0,3093160,Argyrotegium mackayi,(Buchanan) J.M.Ward & Breitw.,Species,Accepted,NA,60426860-2,3093160,0,29,NA,NA,Exact (with author),60426860-2,Species,Accepted,Asteraceae,NA,Argyrotegium,NA,mackayi,NA,NA,Buchanan,J.M.Ward & Breitw.,NA,New Zealand J. Bot.,41: 609,-2003,NA,"Papua New Guinea,SE. Australia, New Zealand",NA,subtropical,Argyrotegium mackayi,(Buchanan) J.M.Ward & Breitw.,3093160,3093158,NA,NA,3134852,60426860-2,NA,N,Matched to an accepted name,0,56.82422624,43.17577376,0,0,0,0,0,0,0,0,0,0,0,0,0
Arisaema triphyllum,Arisaema triphyllum,1,(L.) Schott,Arisaema triphyllum (L.) Schott,Exact (with author),FALSE,1,0,15737,Arisaema triphyllum,(L.) Schott,Species,Accepted,NA,1107169-2,15737,0,11,NA,NA,Exact (with author),1107169-2,Species,Accepted,Araceae,NA,Arisaema,NA,triphyllum,NA,NA,L.,Schott,H.W.Schott & S.L.Endlicher,Melet. Bot.,: 17,-1832,NA,C. & E. Canada to C. & E. U.S.A.,tuberous geophyte,temperate,Arisaema triphyllum,(L.) Schott,15737,16407,NA,NA,15221,1107169-2,NA,Y,Matched to an accepted name,62.96244679,0,37.03755321,0,1,0,0,0,0,0,1,1,0,3,2,1
Aristolochia clematitis,Aristolochia clematitis,1,L.,Aristolochia clematitis L.,Exact (with author),FALSE,1,0,2651289,Aristolochia clematitis,L.,Species,Accepted,NA,92841-1,2651289,0,2,1995,NA,Exact (with author),92841-1,Species,Accepted,Aristolochiaceae,NA,Aristolochia,NA,clematitis,NA,NA,NA,L.,NA,Sp. Pl.,: 962,-1753,NA,Europe to Caucasus,perennial,temperate,Aristolochia clematitis,L.,2651289,NA,NA,NA,2651129,92841-1,NA,N,Matched to an accepted name,53.45869694,27.65686939,18.88443367,0,0,0,0,0,0,0,1,0,0,1,1,1
Armeria maritima,Armeria maritima,2,(Mill.) Willd.,Armeria maritima (Mill.) Willd.,Exact (with author),FALSE,1,0,2652527,Armeria maritima,(Mill.) Willd.,Species,Accepted,NA,19793-2,2652527,0,14,1958,NA,Exact (with author),19793-2,Species,Accepted,Plumbaginaceae,NA,Armeria,NA,maritima,NA,NA,Mill.,Willd.,NA,Enum. Pl.,: 333,-1809,NA,Subarctic & Temp. Northern Hemisphere,subshrub,temperate,Armeria maritima,(Mill.) Willd.,2652527,2599777,NA,NA,2652181,19793-2,NA,N,Matched to an accepted name,14.21258379,42.93204841,42.8603678,0,1,0,0,0,0,0,1,0,0,2,2,1
Armoracia rusticana,Armoracia rusticana,2,"P.Gaertn., B.Mey. & Scherb.","Armoracia rusticana P.Gaertn., B.Mey. & Scherb.",Exact (without author),FALSE,1,0,2652952,Armoracia rusticana,"G.Gaertn., B.Mey. & Scherb.",Species,Accepted,NA,278747-1,2652952,1,26,1926,NA,Exact (without author),278747-1,Species,Accepted,Brassicaceae,NA,Armoracia,NA,rusticana,NA,NA,NA,"G.Gaertn., B.Mey. & Scherb.",NA,Oekon. Fl. Wetterau,0.379166667,-1800,NA,S. Ukraine to S. European Russia,perennial,temperate,Armoracia rusticana,"G.Gaertn., B.Mey. & Scherb.",2652952,2729815,L.,NA,2652936,278747-1,NA,N,Matched to an accepted name,87.53219653,3.035881054,9.431922413,0,0,0,1,1,0,1,1,1,0,5,3,1
Arrhenatherum elatius,Arrhenatherum elatius,2,(L.) P.Beauv. ex J.Presl & C.Presl.,Arrhenatherum elatius (L.) P.Beauv. ex J.Presl & C.Presl.,Exact (without author),FALSE,1,0,395388,Arrhenatherum elatius,(L.) P.Beauv. ex J.Presl & C.Presl,Species,Accepted,NA,389923-1,395388,1,34,1954,NA,Exact (without author),389923-1,Species,Accepted,Poaceae,NA,Arrhenatherum,NA,elatius,NA,NA,L.,P.Beauv. ex J.Presl & C.Presl,NA,Fl. Cech.,: 17,-1819,NA,"Macaronesia, Europe to C. Asia and Iran, NW. Africa",perennial,temperate,Arrhenatherum elatius,(L.) P.Beauv. ex J.Presl & C.Presl,395388,397475,NA,NA,451084,389923-1,NA,Y,Matched to an accepted name,27.39392844,37.32537739,35.27569416,1,1,0,0,0,0,0,1,0,0,3,3,1
Artemisia siversiana,Artemisia siversiana,1,Ehrh. ex Willd.,Artemisia siversiana Ehrh. ex Willd.,Fuzzy (phonetic),FALSE,0.952,1,3108715,Artemisia sieversiana,Ehrh. ex Willd.,Species,Accepted,NA,180122-1,3108715,0,15,1956,NA,Fuzzy (phonetic),180122-1,Species,Accepted,Asteraceae,NA,Artemisia,NA,sieversiana,NA,NA,NA,Ehrh. ex Willd.,NA,Sp. Pl. ed. 4.,1.40625,-1803,NA,Siberia to Afghanistan and Japan,annual or biennial,temperate,Artemisia sieversiana,Ehrh. ex Willd.,3108715,NA,NA,NA,3133635,180122-1,NA,N,Matched to an accepted name,19.20370774,21.04795603,59.79833623,0,0,0,0,0,0,0,1,0,0,1,1,1
Artemisia tridentata,Artemisia tridentata,1,Nutt.,Artemisia tridentata Nutt.,Exact (with author),FALSE,1,0,2922600,Artemisia tridentata,Nutt.,Species,Accepted,NA,20780-2,2922600,0,5,NA,NA,Exact (with author),20780-2,Species,Accepted,Asteraceae,NA,Artemisia,NA,tridentata,NA,NA,NA,Nutt.,NA,Trans. Amer. Philos. Soc.,", ser. 2, 7: 398",-1841,NA,W. Canada to Mexico (Baja California Norte),tree,NA,Artemisia tridentata,Nutt.,2922600,NA,NA,NA,3133635,20780-2,NA,N,Matched to an accepted name,5.777880409,85.00177133,9.22034826,1,1,1,0,1,0,1,1,1,0,7,6,1
Arum maculatum,Arum maculatum,1,L.,Arum maculatum L.,Exact (with author),FALSE,1,0,16240,Arum maculatum,L.,Species,Accepted,NA,86067-1,16240,0,2,NA,NA,Exact (with author),86067-1,Species,Accepted,Araceae,NA,Arum,NA,maculatum,NA,NA,NA,L.,NA,Sp. Pl.,: 966,-1753,NA,Europe to N. T??rkiye and W. Caucasus,tuberous geophyte,temperate,Arum maculatum,L.,16240,NA,NA,NA,16026,86067-1,NA,Y,Matched to an accepted name,63.44914117,0,36.55085883,0,1,0,0,0,0,1,1,1,0,4,3,1
Asarum europaeum,Asarum europaeum,1,L.,Asarum europaeum L.,Exact (with author),FALSE,1,0,2654312,Asarum europaeum,L.,Species,Accepted,NA,302682-2,2654312,0,2,NA,NA,Exact (with author),302682-2,Species,Accepted,Aristolochiaceae,NA,Asarum,NA,europaeum,NA,NA,NA,L.,NA,Sp. Pl.,: 442,-1753,NA,Europe to C. Siberia,perennial,temperate,Asarum europaeum,L.,2654312,NA,NA,NA,2654248,302682-2,NA,N,Matched to an accepted name,52.83107102,0,47.16892898,0,0,0,0,0,0,1,1,0,0,2,2,1
Asclepias incarnata,Asclepias incarnata,1,L.,Asclepias incarnata L.,Exact (with author),FALSE,1,0,501004,Asclepias incarnata,L.,Species,Accepted,NA,94351-1,501004,0,2,NA,NA,Exact (with author),94351-1,Species,Accepted,Apocynaceae,NA,Asclepias,NA,incarnata,NA,NA,NA,L.,NA,Sp. Pl.,: 215,-1753,NA,C. & E. Canada to WC. & E. U.S.A.,perennial,temperate,Asclepias incarnata,L.,501004,NA,NA,NA,500668,94351-1,NA,Y,Matched to an accepted name,36.09978455,26.93288437,36.97233108,0,1,0,0,0,0,1,1,1,0,4,3,1
Asclepias syriaca,Asclepias syriaca,1,L.,Asclepias syriaca L.,Exact (with author),FALSE,1,0,501428,Asclepias syriaca,L.,Species,Accepted,NA,319076-2,501428,0,2,NA,NA,Exact (with author),319076-2,Species,Accepted,Apocynaceae,NA,Asclepias,NA,syriaca,NA,NA,NA,L.,NA,Sp. Pl. ed. 2.,: 214,-1762,NA,C. & E. Canada to C. & E. U.S.A.,perennial,temperate,Asclepias syriaca,L.,501428,NA,NA,NA,500668,319076-2,NA,Y,Matched to an accepted name,64.96373635,15.79505522,19.24120843,0,0,0,0,1,1,1,1,1,0,5,4,1
Asclepias tuberosa,Asclepias tuberosa,1,L.,Asclepias tuberosa L.,Exact (with author),FALSE,1,0,501455,Asclepias tuberosa,L.,Species,Accepted,NA,94704-1,501455,0,2,NA,NA,Exact (with author),94704-1,Species,Accepted,Apocynaceae,NA,Asclepias,NA,tuberosa,NA,NA,NA,L.,NA,Sp. Pl.,: 217,-1753,NA,"SE. Canada, U.S.A. to N. Mexico",perennial,temperate,Asclepias tuberosa,L.,501455,NA,NA,NA,500668,94704-1,NA,Y,Matched to an accepted name,31.15110198,28.94292937,39.90596865,0,1,0,0,1,0,1,1,0,0,4,4,1
