TPL_names,Standardized_names,invasion_status,TPL_Author,TPL_names.withAuthor,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,min_record_year_cvh,...21,resolved_match_type,ipni_id,taxon_rank,taxon_status,family,genus_hybrid,genus,species_hybrid,species,infraspecific_rank,infraspecies,parenthetical_author,primary_author,publication_author,place_of_publication,volume_and_page,first_published,nomenclatural_remarks,geographic_area,lifeform_description,climate_description,taxon_name,taxon_authors,accepted_plant_name_id,basionym_plant_name_id,replaced_synonym_author,homotypic_synonym,parent_plant_name_id,powo_id,hybrid_formula,reviewed,keep,c_score,s_score,r_score,wcup_eco_use_AF,wcup_eco_use_EU,wcup_eco_use_FU,wcup_eco_use_GS,wcup_eco_use_HF,wcup_eco_use_IF,wcup_eco_use_MA,wcup_eco_use_ME,wcup_eco_use_PO,wcup_eco_use_SU,wcup_eco_use_num,wcup_eco_use_num_2out,wcup_eco_use_status
Knightia excelsa,Knightia excelsa,1,R.Br.,Knightia excelsa R.Br.,Exact (without author),FALSE,1,0,2334761,Knightia excelsa,(Knight) R.Br.,Species,Accepted,NA,704692-1,2334761,9,5,NA,NA,Exact (without author),704692-1,Species,Accepted,Proteaceae,NA,Knightia,NA,excelsa,NA,NA,Knight,R.Br.,NA,Trans. Linn. Soc. London,0.551388889,-1810,NA,New Zealand,tree,temperate,Knightia excelsa,(Knight) R.Br.,2334761,2425925,NA,NA,2334768,704692-1,NA,N,Matched to an accepted name,29.23782715,70.76217285,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Koeleria glauca,Koeleria glauca,1,(Spreng.) DC.,Koeleria glauca (Spreng.) DC.,Exact (with author),FALSE,1,0,421418,Koeleria glauca,(Spreng.) DC.,Species,Accepted,NA,406559-1,421418,0,13,NA,NA,Exact (with author),406559-1,Species,Accepted,Poaceae,NA,Koeleria,NA,glauca,NA,NA,Spreng.,DC.,NA,Cat. Pl. Horti Monsp.,: 117,-1813,NA,Europe to Mongolia,perennial,temperate,Koeleria glauca,(Spreng.) DC.,421418,390910,NA,NA,421160,406559-1,NA,Y,Matched to an accepted name,7.858957444,79.23354091,12.90750165,0,0,0,0,0,0,0,0,0,0,0,0,0
Laburnum alpinum,Laburnum alpinum,1,(Mill.) Bercht. & J.Presl,Laburnum alpinum (Mill.) Bercht. & J.Presl,Exact (with author),FALSE,1,0,2350829,Laburnum alpinum,(Mill.) Bercht. & J.Presl,Species,Accepted,NA,501425-1,2350829,0,25,2012,NA,Exact (with author),501425-1,Species,Accepted,Fabaceae,NA,Laburnum,NA,alpinum,NA,NA,Mill.,Bercht. & J.Presl,NA,P?ir. Rostlin Aneb. Rostl.,0.19375,-1830,NA,C. & SE. Europe,tree,temperate,Laburnum alpinum,(Mill.) Bercht. & J.Presl,2350829,2754541,NA,NA,2350835,501425-1,NA,Y,Matched to an accepted name,41.08113649,40.04859721,18.8702663,0,0,0,0,0,0,1,1,0,0,2,2,1
Laburnum anagyroides,Laburnum anagyroides,1,Medik.,Laburnum anagyroides Medik.,Exact (with author),FALSE,1,0,2350832,Laburnum anagyroides,Medik.,Species,Accepted,NA,501428-1,2350832,0,6,1934,NA,Exact (with author),501428-1,Species,Accepted,Fabaceae,NA,Laburnum,NA,anagyroides,NA,NA,NA,Medik.,NA,Vorles. Churpf?lz. Phys.-?kon. Ges.,0.335416667,-1787,NA,C. & SE. Europe,shrub or tree,temperate,Laburnum anagyroides,Medik.,2350832,2754737,L.,NA,2350835,501428-1,NA,Y,Matched to an accepted name,36.20886915,33.92161963,29.86951122,0,1,0,0,0,0,1,1,1,0,4,3,1
Lactuca virosa,Lactuca virosa,1,Habl.,Lactuca virosa Habl.,Exact (without author),TRUE,1,0,2912755,Lactuca virosa,L.,Species,Accepted,NA,329493-2,2912755,4,1,2015,NA,Exact (without author),329493-2,Species,Accepted,Asteraceae,NA,Lactuca,NA,virosa,NA,NA,NA,L.,NA,Sp. Pl.,: 795,-1753,NA,"Madeira, Europe, NW. Africa",NA,temperate,Lactuca virosa,L.,2912755,NA,NA,NA,3134294,329493-2,NA,N,Matched to an accepted name,65.16457088,3.466778788,31.36865033,0,0,0,0,0,0,0,1,0,0,1,1,1
Lagarosiphon major,Lagarosiphon major,1,(Ridl.) Moss,Lagarosiphon major (Ridl.) Moss,Exact (with author),FALSE,1,0,308179,Lagarosiphon major,(Ridl.) Moss,Species,Accepted,NA,431822-1,308179,0,12,NA,NA,Exact (with author),431822-1,Species,Accepted,Hydrocharitaceae,NA,Lagarosiphon,NA,major,NA,NA,Ridl.,Moss,NA,Trans. Roy. Soc. South Africa,0.800694444,-1928,NA,S. Trop. & S. Africa,hydroperennial,subtropical,Lagarosiphon major,(Ridl.) Moss,308179,310182,NA,NA,308170,431822-1,NA,Y,Matched to an accepted name,0,34.42438501,65.57561499,0,1,0,0,0,0,0,0,0,0,1,1,1
Lagurus ovatus,Lagurus ovatus,1,L.,Lagurus ovatus L.,Exact (with author),FALSE,1,0,421920,Lagurus ovatus,L.,Species,Accepted,NA,406799-1,421920,0,2,1957,NA,Exact (with author),406799-1,Species,Accepted,Poaceae,NA,Lagurus,NA,ovatus,NA,NA,NA,L.,NA,Sp. Pl.,: 81,-1753,NA,"Macaronesia, Medit. to Arabian Pen.",annual,subtropical,Lagurus ovatus,L.,421920,NA,NA,NA,421912,406799-1,NA,Y,Matched to an accepted name,13.0072445,28.211545,58.7812105,0,1,0,0,0,0,0,0,0,0,1,1,1
Lamium galeobdolon,Lamium galeobdolon,1,(L.) L.,Lamium galeobdolon (L.) L.,Exact (with author),FALSE,1,0,107452,Lamium galeobdolon,(L.) L.,Species,Accepted,NA,60452701-2,107452,0,7,NA,NA,Exact (with author),60452701-2,Species,Accepted,Lamiaceae,NA,Lamium,NA,galeobdolon,NA,NA,L.,L.,NA,Amoen. Acad.,0.503472222,-1759,NA,Europe to Iran,perennial,temperate,Lamium galeobdolon,(L.) L.,107452,85365,NA,NA,107366,60452701-2,NA,Y,Matched to an accepted name,32.0198029,29.317032,38.6631651,0,1,0,0,0,0,0,1,0,0,2,2,1
Lamium purpureum,Lamium purpureum,2,L.,Lamium purpureum L.,Exact (with author),FALSE,1,0,107573,Lamium purpureum,L.,Species,Accepted,NA,448939-1,107573,0,2,2003,NA,Exact (with author),448939-1,Species,Accepted,Lamiaceae,NA,Lamium,NA,purpureum,NA,NA,NA,L.,NA,Sp. Pl.,: 579,-1753,NA,"Macaronesia, Medit., Europe to W. Siberia",annual,temperate,Lamium purpureum,L.,107573,NA,NA,NA,107366,448939-1,NA,Y,Matched to an accepted name,22.44423145,0,77.55576855,0,0,0,0,0,0,0,1,0,0,1,1,1
Lantana camara,Lantana camara,3,L.,Lantana camara L.,Exact (with author),FALSE,1,0,107934,Lantana camara,L.,Species,Accepted,NA,325686-2,107934,0,2,1918,NA,Exact (with author),325686-2,Species,Accepted,Verbenaceae,NA,Lantana,NA,camara,NA,NA,NA,L.,NA,Sp. Pl.,: 627,-1753,NA,Mexico to Trop. America,subshrub or shrub,subtropical,Lantana camara,L.,107934,NA,NA,NA,107863,325686-2,NA,Y,Matched to an accepted name,35.01215035,43.2636304,21.72421925,1,1,1,1,1,1,1,1,1,1,10,8,1
Lapsana communis,Lapsana communis,1,L.,Lapsana communis L.,Exact (with author),FALSE,1,0,3058044,Lapsana communis,L.,Species,Accepted,NA,228732-1,3058044,0,2,1935,NA,Exact (with author),228732-1,Species,Accepted,Asteraceae,NA,Lapsana,NA,communis,NA,NA,NA,L.,NA,Sp. Pl.,: 811,-1753,NA,"Macaronesia, Europe to Siberia and Iran",annual,temperate,Lapsana communis,L.,3058044,NA,NA,NA,3134285,228732-1,NA,N,Matched to an accepted name,46.33996607,0,53.66003393,0,0,0,0,0,0,0,1,0,0,1,1,1
Larix decidua,Larix decidua,1,Mill.,Larix decidua Mill.,Exact (with author),FALSE,1,0,379112,Larix decidua,Mill.,Species,Accepted,NA,262420-1,379112,0,5,1977,NA,Exact (with author),262420-1,Species,Accepted,Pinaceae,NA,Larix,NA,decidua,NA,NA,NA,Mill.,NA,Gard. Dict. ed. 8.,: n.?? 1,-1768,NA,"Alps, Sudeten Mts., Carpathians",tree,temperate,Larix decidua,Mill.,379112,379684,L.,NA,379146,262420-1,NA,Y,Matched to an accepted name,0,92.34545479,7.654545208,0,1,0,0,0,0,1,1,0,0,3,3,1
Lathyrus aphaca,Lathyrus aphaca,1,L.,Lathyrus aphaca L.,Exact (with author),FALSE,1,0,2352087,Lathyrus aphaca,L.,Species,Accepted,NA,501579-1,2352087,0,2,1958,NA,Exact (with author),501579-1,Species,Accepted,Fabaceae,NA,Lathyrus,NA,aphaca,NA,NA,NA,L.,NA,Sp. Pl.,: 729,-1753,NA,"Macaronesia, Medit. to C. Asia and Indian Subcontinent",scrambling annual,temperate,Lathyrus aphaca,L.,2352087,NA,NA,NA,2352057,501579-1,NA,Y,Matched to an accepted name,12.66713522,17.69690938,69.6359554,0,0,0,0,0,0,0,1,0,0,1,1,1
Lathyrus latifolius,Lathyrus latifolius,2,L.,Lathyrus latifolius L.,Exact (with author),FALSE,1,0,2350701,Lathyrus latifolius,L.,Species,Accepted,NA,501802-1,2350701,0,2,1946,NA,Exact (with author),501802-1,Species,Accepted,Fabaceae,NA,Lathyrus,NA,latifolius,NA,NA,NA,L.,NA,Sp. Pl.,: 733,-1753,NA,"EC. & S. Europe, NW. Africa",climbing perennial,temperate,Lathyrus latifolius,L.,2350701,NA,NA,NA,2352057,501802-1,NA,Y,Matched to an accepted name,50.81505017,28.17830641,21.00664343,0,1,0,1,0,0,0,0,1,0,3,1,1
Lathyrus linifolius,Lathyrus linifolius,1,(Reichard) Bassler,Lathyrus linifolius (Reichard) Bassler,Exact (without author),FALSE,1,0,2351366,Lathyrus linifolius,(Reichard) B?ssler,Species,Accepted,NA,501820-1,2351366,1,12,NA,NA,Exact (without author),501820-1,Species,Accepted,Fabaceae,NA,Lathyrus,NA,linifolius,NA,NA,Reichard,B?ssler,NA,Feddes Repert.,82: 434,-1971,NA,"Europe, Algeria",perennial,temperate,Lathyrus linifolius,(Reichard) B?ssler,2351366,2388680,NA,NA,2352057,501820-1,NA,Y,Matched to an accepted name,29.27140968,36.13961524,34.58897508,0,0,0,0,0,0,0,0,0,0,0,0,0
Lathyrus niger,Lathyrus niger,1,(L.) Bernh.,Lathyrus niger (L.) Bernh.,Exact (with author),FALSE,1,0,2351298,Lathyrus niger,(L.) Bernh.,Species,Accepted,NA,501886-1,2351298,0,11,NA,NA,Exact (with author),501886-1,Species,Accepted,Fabaceae,NA,Lathyrus,NA,niger,NA,NA,L.,Bernh.,NA,Syst. Verz. Erf.,: 247,-1800,NA,"Europe to Caucasus, NW. Africa",perennial,temperate,Lathyrus niger,(L.) Bernh.,2351298,2388668,NA,NA,2352057,501886-1,NA,Y,Matched to an accepted name,37.16830343,22.10933649,40.72236008,0,0,0,0,0,0,0,0,0,0,0,0,0
Lathyrus odoratus,Lathyrus odoratus,1,L.,Lathyrus odoratus L.,Exact (with author),FALSE,1,0,2351328,Lathyrus odoratus,L.,Species,Accepted,NA,501909-1,2351328,0,2,1917,NA,Exact (with author),501909-1,Species,Accepted,Fabaceae,NA,Lathyrus,NA,odoratus,NA,NA,NA,L.,NA,Sp. Pl.,: 732,-1753,NA,"S. Italy, Sicilia",scrambling annual,temperate,Lathyrus odoratus,L.,2351328,NA,NA,NA,2352057,501909-1,NA,Y,Matched to an accepted name,35.79205793,19.98070472,44.22723734,0,1,0,1,1,0,1,1,1,0,6,4,1
Lathyrus sativus,Lathyrus sativus,1,L.,Lathyrus sativus L.,Exact (with author),FALSE,1,0,2351466,Lathyrus sativus,L.,Species,Accepted,NA,501990-1,2351466,0,2,1956,NA,Exact (with author),501990-1,Species,Accepted,Fabaceae,NA,Lathyrus,NA,sativus,NA,NA,NA,L.,NA,Sp. Pl.,: 730,-1753,NA,a cultigen from Balkan Pen.,climbing annual,temperate,Lathyrus sativus,L.,2351466,NA,NA,NA,2352057,501990-1,NA,Y,Matched to an accepted name,38.65672877,0,61.34327123,1,1,0,1,1,0,0,1,1,0,6,4,1
Lathyrus sylvestris,Lathyrus sylvestris,1,L.,Lathyrus sylvestris L.,Exact (with author),FALSE,1,0,2351122,Lathyrus sylvestris,L.,Species,Accepted,NA,502035-1,2351122,0,2,1984,NA,Exact (with author),502035-1,Species,Accepted,Fabaceae,NA,Lathyrus,NA,sylvestris,NA,NA,NA,L.,NA,Sp. Pl.,: 733,-1753,NA,"Madeira, Europe to W. Siberia and Caucasus",scrambling perennial,temperate,Lathyrus sylvestris,L.,2351122,NA,NA,NA,2352057,502035-1,NA,Y,Matched to an accepted name,41.25,22.03,36.72,0,1,0,1,0,0,0,0,1,0,3,1,1
Lathyrus vernus,Lathyrus vernus,1,(L.) Bernh.,Lathyrus vernus (L.) Bernh.,Exact (with author),FALSE,1,0,2351026,Lathyrus vernus,(L.) Bernh.,Species,Accepted,NA,502084-1,2351026,0,11,NA,NA,Exact (with author),502084-1,Species,Accepted,Fabaceae,NA,Lathyrus,NA,vernus,NA,NA,L.,Bernh.,NA,Syst. Verz. Erf.,: 247,-1800,NA,Europe to Siberia and Iran,perennial,temperate,Lathyrus vernus,(L.) Bernh.,2351026,2388756,NA,NA,2352057,502084-1,NA,Y,Matched to an accepted name,38.28227906,14.288753,47.42896794,0,1,0,0,0,0,0,0,0,0,1,1,1
Laurus nobilis,Laurus nobilis,1,L.,Laurus nobilis L.,Exact (with author),FALSE,1,0,2349094,Laurus nobilis,L.,Species,Accepted,NA,465049-1,2349094,0,2,1954,NA,Exact (with author),465049-1,Species,Accepted,Lauraceae,NA,Laurus,NA,nobilis,NA,NA,NA,L.,NA,Sp. Pl.,: 369,-1753,NA,Medit.,tree,subtropical,Laurus nobilis,L.,2349094,NA,NA,NA,2349371,465049-1,NA,N,Matched to an accepted name,31.10727687,68.83570368,0.057019456,0,1,0,0,1,0,1,1,0,0,4,4,1
Lavandula angustifolia,Lavandula angustifolia,1,Mill.,Lavandula angustifolia Mill.,Exact (with author),FALSE,1,0,108971,Lavandula angustifolia,Mill.,Species,Accepted,NA,449008-1,108971,0,5,1936,NA,Exact (with author),449008-1,Species,Accepted,Lamiaceae,NA,Lavandula,NA,angustifolia,NA,NA,NA,Mill.,NA,Gard. Dict. ed. 8.,: n.?? 2,-1768,NA,NE. Spain to Italy,subshrub,temperate,Lavandula angustifolia,Mill.,108971,NA,NA,NA,108966,449008-1,NA,Y,Matched to an accepted name,3.411890316,47.27078538,49.3173243,0,1,0,0,0,1,1,1,0,0,4,4,1
Lavandula latifolia,Lavandula latifolia,1,Medik.,Lavandula latifolia Medik.,Exact (with author),FALSE,1,0,109033,Lavandula latifolia,Medik.,Species,Accepted,NA,449051-1,109033,0,6,1962,NA,Exact (with author),449051-1,Species,Accepted,Lamiaceae,NA,Lavandula,NA,latifolia,NA,NA,NA,Medik.,NA,Bot. Beob. 1783,: 135,-1784,NA,Spain to NC. Italy,subshrub,temperate,Lavandula latifolia,Medik.,109033,NA,NA,NA,108966,449051-1,NA,Y,Matched to an accepted name,19.7987969,7.716927215,72.48427588,0,1,0,0,0,1,1,1,0,0,4,4,1
Lavandula multifida,Lavandula multifida,1,L.,Lavandula multifida L.,Exact (with author),FALSE,1,0,109049,Lavandula multifida,L.,Species,Accepted,NA,449064-1,109049,0,2,1955,NA,Exact (with author),449064-1,Species,Accepted,Lamiaceae,NA,Lavandula,NA,multifida,NA,NA,NA,L.,NA,Sp. Pl.,: 572,-1753,NA,"S. Portugal to SW. Italy, N. Africa to NE. Sudan",subshrub,subtropical,Lavandula multifida,L.,109049,NA,NA,NA,108966,449064-1,NA,Y,Matched to an accepted name,19.34968093,0,80.65031907,0,0,0,0,0,0,0,0,0,0,0,0,0
Lavandula stoechas,Lavandula stoechas,1,L.,Lavandula stoechas L.,Exact (with author),FALSE,1,0,109094,Lavandula stoechas,L.,Species,Accepted,NA,449089-1,109094,0,2,2011,NA,Exact (with author),449089-1,Species,Accepted,Lamiaceae,NA,Lavandula,NA,stoechas,NA,NA,NA,L.,NA,Sp. Pl.,: 573,-1753,NA,Medit.,subshrub,subtropical,Lavandula stoechas,L.,109094,NA,NA,NA,108966,449089-1,NA,Y,Matched to an accepted name,24.89505318,70.5940944,4.510852425,0,1,0,0,1,1,0,1,0,0,4,4,1
Lecythis pisonis,Lecythis pisonis,1,Cambess.,Lecythis pisonis Cambess.,Exact (with author),FALSE,1,0,313001,Lecythis pisonis,Cambess.,Species,Accepted,NA,597315-1,313001,0,8,NA,NA,Exact (with author),597315-1,Species,Accepted,Lecythidaceae,NA,Lecythis,NA,pisonis,NA,NA,NA,Cambess.,A.F.C.P.de Saint-Hilaire & al.,Fl. Bras. Merid.,0.345138889,-1833,NA,Colombia (Caquet??) to Brazil and Peru,tree,wet tropical,Lecythis pisonis,Cambess.,313001,NA,NA,NA,313045,597315-1,NA,Y,Matched to an accepted name,45.09421423,54.90578577,0,0,1,0,0,1,0,1,1,0,0,4,4,1
Lembotropis nigricans,Lembotropis nigricans,1,(L.) Griseb.,Lembotropis nigricans (L.) Griseb.,Exact (with author),FALSE,1,0,2341715,Lembotropis nigricans,(L.) Griseb.,Species,Synonym,TRUE,844139-1,2754790,0,12,NA,NA,Exact (with author),489855-1,Species,Accepted,Fabaceae,NA,Cytisus,NA,nigricans,NA,NA,NA,L.,NA,Sp. Pl.,: 739,-1753,NA,Europe,subshrub,temperate,Cytisus nigricans,L.,2754790,NA,NA,NA,2754521,489855-1,NA,Y,Matched to an accepted name,11.97182592,56.77627691,31.25189717,0,0,0,0,0,0,1,0,0,0,1,1,1
Lemna minuta,Lemna minuta,1,Kunth,Lemna minuta Kunth,Exact (with author),FALSE,1,0,109312,Lemna minuta,Kunth,Species,Accepted,NA,526198-1,109312,0,5,NA,NA,Exact (with author),526198-1,Species,Accepted,Araceae,NA,Lemna,NA,minuta,NA,NA,NA,Kunth,"F.W.H.von Humboldt, A.J.A.Bonpland & C.S.Kunth",Nov. Gen. Sp.,0.3,-1816,NA,America,hydroannual,subtropical,Lemna minuta,Kunth,109312,NA,NA,NA,109275,526198-1,NA,Y,Matched to an accepted name,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
Leonurus cardiaca,Leonurus cardiaca,1,L.,Leonurus cardiaca L.,Exact (with author),FALSE,1,0,109505,Leonurus cardiaca,L.,Species,Accepted,NA,449168-1,109505,0,2,1936,NA,Exact (with author),449168-1,Species,Accepted,Lamiaceae,NA,Leonurus,NA,cardiaca,NA,NA,NA,L.,NA,Sp. Pl.,: 584,-1753,NA,Europe to Iran,perennial,temperate,Leonurus cardiaca,L.,109505,NA,NA,NA,109490,449168-1,NA,Y,Matched to an accepted name,27.53850016,34.78841038,37.67308946,0,1,0,0,0,0,0,1,0,0,2,2,1
Leopoldia comosa,Leopoldia comosa,1,(L.) Parl.,Leopoldia comosa (L.) Parl.,Exact (with author),FALSE,1,0,280812,Leopoldia comosa,(L.) Parl.,Species,Synonym,TRUE,537347-1,281521,0,10,NA,NA,Exact (with author),538476-1,Species,Accepted,Asparagaceae,NA,Muscari,NA,comosum,NA,NA,L.,Mill.,NA,Gard. Dict. ed. 8.,: n.?? 2,-1768,NA,Canary Is. to C. Europe and Iran,bulbous geophyte,temperate,Muscari comosum,(L.) Mill.,281521,278595,NA,NA,281591,538476-1,NA,Y,Matched to an accepted name,63.79339407,0,36.20660593,0,1,0,0,1,0,0,1,0,0,3,3,1
Lepidium campestre,Lepidium campestre,3,(L.) R.Br.,Lepidium campestre (L.) R.Br.,Exact (without author),FALSE,1,0,2337827,Lepidium campestre,(L.) W.T.Aiton,Species,Accepted,NA,286087-1,2337827,8,5,1925,NA,Exact (without author),286087-1,Species,Accepted,Brassicaceae,NA,Lepidium,NA,campestre,NA,NA,L.,W.T.Aiton,NA,Hortus Kew.,0.227777778,-1812,NA,Europe to Caucasus,annual or biennial,temperate,Lepidium campestre,(L.) W.T.Aiton,2337827,2437662,NA,NA,2338293,286087-1,NA,N,Matched to an accepted name,20.0617564,23.12766097,56.81058263,0,0,0,0,0,0,0,1,0,0,1,1,1
Lepidium coronopus,Lepidium coronopus,1,(L.) Al-Shehbaz,Lepidium coronopus (L.) Al-Shehbaz,Exact (with author),FALSE,1,0,2356176,Lepidium coronopus,(L.) Al-Shehbaz,Species,Accepted,NA,60433916-2,2356176,0,15,NA,NA,Exact (with author),60433916-2,Species,Accepted,Brassicaceae,NA,Lepidium,NA,coronopus,NA,NA,L.,Al-Shehbaz,NA,Novon,0.688888889,-2004,NA,"Macaronesia, Europe to C. Asia",annual or biennial,temperate,Lepidium coronopus,(L.) Al-Shehbaz,2356176,2729838,NA,NA,2338293,60433916-2,NA,N,Matched to an accepted name,6.16730441,0,93.83269559,0,0,0,0,1,0,0,1,0,0,2,2,1
Lepidium densiflorum,Lepidium densiflorum,2,Schrad.,Lepidium densiflorum Schrad.,Exact (with author),FALSE,1,0,2337846,Lepidium densiflorum,Schrad.,Species,Accepted,NA,286137-1,2337846,0,7,1932,NA,Exact (with author),286137-1,Species,Accepted,Brassicaceae,NA,Lepidium,NA,densiflorum,NA,NA,NA,Schrad.,NA,"Index Seminum (GOET, Gottingensis)",1832:04:00,-1832,NA,Subarctic America to N. Mexico,annual or biennial,temperate,Lepidium densiflorum,Schrad.,2337846,NA,NA,NA,2338293,286137-1,NA,N,Matched to an accepted name,10.9675193,0,89.0324807,0,0,0,0,0,0,0,1,0,0,1,1,1
Lepidium didymum,Lepidium didymum,3,L.,Lepidium didymum L.,Exact (with author),FALSE,1,0,2337750,Lepidium didymum,L.,Species,Accepted,NA,286148-1,2337750,0,2,1907,NA,Exact (with author),286148-1,Species,Accepted,Brassicaceae,NA,Lepidium,NA,didymum,NA,NA,NA,L.,NA,Mant. Pl.,: 92,-1767,NA,Peru to Brazil and S. South America,annual or biennial,temperate,Lepidium didymum,L.,2337750,NA,NA,NA,2338293,286148-1,NA,N,Matched to an accepted name,13.38662077,0,86.61337923,1,0,0,1,1,0,0,1,0,0,4,3,1
Lepidium sativum,Lepidium sativum,2,L.,Lepidium sativum L.,Exact (with author),FALSE,1,0,2338547,Lepidium sativum,L.,Species,Accepted,NA,138141-2,2338547,0,2,1932,NA,Exact (with author),138141-2,Species,Accepted,Brassicaceae,NA,Lepidium,NA,sativum,NA,NA,NA,L.,NA,Sp. Pl.,: 644,-1753,NA,"Europe to C. Asia and Himalaya, Arabian Pen.",annual,temperate,Lepidium sativum,L.,2338547,NA,NA,NA,2338293,138141-2,NA,N,Matched to an accepted name,33.05163364,0,66.94836636,0,1,1,1,1,0,1,1,1,0,7,5,1
Lepidium virginicum,Lepidium virginicum,3,L.,Lepidium virginicum L.,Exact (with author),FALSE,1,0,2341702,Lepidium virginicum,L.,Species,Accepted,NA,138164-2,2341702,0,2,1910,NA,Exact (with author),138164-2,Species,Accepted,Brassicaceae,NA,Lepidium,NA,virginicum,NA,NA,NA,L.,NA,Sp. Pl.,: 645,-1753,NA,"Canada to C. America, Caribbean",annual or biennial,temperate,Lepidium virginicum,L.,2341702,NA,NA,NA,2338293,138164-2,NA,N,Matched to an accepted name,17.64005869,22.69833987,59.66160144,0,0,0,0,0,0,0,1,0,0,1,1,1
Leptospermum scoparium,Leptospermum scoparium,1,J.R.Forst. & G.Forst.,Leptospermum scoparium J.R.Forst. & G.Forst.,Exact (with author),FALSE,1,0,111473,Leptospermum scoparium,J.R.Forst. & G.Forst.,Species,Accepted,NA,597505-1,111473,0,21,1972,NA,Exact (with author),597505-1,Species,Accepted,Myrtaceae,NA,Leptospermum,NA,scoparium,NA,NA,NA,J.R.Forst. & G.Forst.,NA,Char. Gen. Pl.,: 72,-1776,NA,"SE. Australia, New Zealand, Chatham Is.",shrub,subtropical,Leptospermum scoparium,J.R.Forst. & G.Forst.,111473,NA,NA,NA,111246,597505-1,NA,Y,Matched to an accepted name,0,100,0,0,1,0,0,1,0,1,1,0,0,4,4,1
Leucaena leucocephala,Leucaena leucocephala,3,(Lam.) de Wit,Leucaena leucocephala (Lam.) de Wit,Exact (with author),FALSE,1,0,2346347,Leucaena leucocephala,(Lam.) de Wit,Species,Accepted,NA,138955-2,2346347,0,13,1917,NA,Exact (with author),138955-2,Species,Accepted,Fabaceae,NA,Leucaena,NA,leucocephala,NA,NA,Lam.,de Wit,NA,Taxon,10:54,-1961,NA,Mexico to C. America,shrub or tree,seasonally dry tropical,Leucaena leucocephala,(Lam.) de Wit,2346347,2374717,NA,NA,2497458,138955-2,NA,Y,Matched to an accepted name,46.36797126,42.56747478,11.06455396,1,1,1,1,1,1,1,1,1,1,10,8,1
Leucanthemum vulgare,Leucanthemum vulgare,2,(Vaill.) Lam.,Leucanthemum vulgare (Vaill.) Lam.,Exact (without author),FALSE,1,0,3112766,Leucanthemum vulgare,Lam.,Species,Accepted,NA,30296198-2,3112766,9,4,1910,NA,Exact (without author),30296198-2,Species,Accepted,Asteraceae,NA,Leucanthemum,NA,vulgare,NA,NA,NA,Lam.,NA,Fl. Fran?.,0.178472222,-1779,NA,Europe to Russian Far East and Caucasus,perennial or rhizomatous geophyte,temperate,Leucanthemum vulgare,Lam.,3112766,3112768,L.,NA,3133918,30296198-2,NA,N,Matched to an accepted name,25.65004846,11.24453142,63.10542012,0,1,0,0,0,0,1,1,0,0,3,3,1
Leucojum aestivum,Leucojum aestivum,1,L.,Leucojum aestivum L.,Exact (with author),FALSE,1,0,280491,Leucojum aestivum,L.,Species,Accepted,NA,65743-1,280491,0,2,1953,NA,Exact (with author),65743-1,Species,Accepted,Amaryllidaceae,NA,Leucojum,NA,aestivum,NA,NA,NA,L.,NA,Syst. Nat. ed. 10.,0.760416667,-1759,NA,Europe to N. Iran,bulbous geophyte,temperate,Leucojum aestivum,L.,280491,NA,NA,NA,280164,65743-1,NA,Y,Matched to an accepted name,66.84825941,0,33.15174059,0,1,0,0,0,0,0,1,0,0,2,2,1
Leucojum vernum,Leucojum vernum,1,L.,Leucojum vernum L.,Exact (with author),FALSE,1,0,280568,Leucojum vernum,L.,Species,Accepted,NA,65769-1,280568,0,2,1958,NA,Exact (with author),65769-1,Species,Accepted,Amaryllidaceae,NA,Leucojum,NA,vernum,NA,NA,NA,L.,NA,Sp. Pl.,: 289,-1753,NA,Belgium to Ukraine,bulbous geophyte,temperate,Leucojum vernum,L.,280568,NA,NA,NA,280164,65769-1,NA,Y,Matched to an accepted name,49.33638421,0,50.66361579,0,1,0,0,0,0,0,1,0,0,2,2,1
Levisticum officinale,Levisticum officinale,1,W.D.J.Koch,Levisticum officinale W.D.J.Koch,Exact (with author),FALSE,1,0,2341672,Levisticum officinale,W.D.J.Koch,Species,Accepted,NA,844187-1,2341672,0,10,1964,NA,Exact (with author),844187-1,Species,Accepted,Apiaceae,NA,Levisticum,NA,officinale,NA,NA,NA,W.D.J.Koch,NA,Nova Acta Phys.-Med. Acad. Caes. Leop.-Carol. Nat. Cur.,12(1): 101,-1824,NA,S. Iran to Afghanistan,perennial,temperate,Levisticum officinale,W.D.J.Koch,2341672,2344137,L.,NA,2341650,844187-1,NA,N,Matched to an accepted name,81.19334567,4.51682234,14.28983199,0,0,0,0,1,0,1,1,0,0,3,3,1
